Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
system,20:05:39,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:05:39
system,20:05:44,26.0,90.6,ON,OFF,No fireflies detected,2026-02-14 20:05:44
system,20:05:49,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:05:49
system,20:05:54,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:05:54
system,20:05:59,25.4,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:05:59
system,20:06:04,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:06:04
system,20:06:09,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:06:09
system,20:06:14,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:06:14
system,20:06:19,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:06:19
system,20:06:24,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:06:24
system,20:06:29,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:06:29
system,20:06:34,26.0,90.6,OFF,OFF,No fireflies detected,2026-02-14 20:06:34
system,20:06:39,25.4,90.5,OFF,OFF,No fireflies detected,2026-02-14 20:06:39
system,20:06:44,26.7,90.5,OFF,OFF,No fireflies detected,2026-02-14 20:06:44
system,20:06:49,25.4,90.5,ON,OFF,No fireflies detected,2026-02-14 20:06:49
system,20:06:54,26.7,90.5,ON,OFF,No fireflies detected,2026-02-14 20:06:54
system,20:06:59,26.0,90.5,ON,OFF,Strong light detected,2026-02-14 20:06:59
system,20:07:04,26.1,90.5,ON,OFF,No fireflies detected,2026-02-14 20:07:04
system,20:07:09,26.0,90.4,ON,OFF,Strong light detected,2026-02-14 20:07:09
system,20:07:14,26.1,90.4,ON,OFF,Strong light detected,2026-02-14 20:07:14
system,20:07:19,26.0,90.4,OFF,OFF,No fireflies detected,2026-02-14 20:07:19
system,20:07:24,26.0,90.4,OFF,OFF,Strong light detected,2026-02-14 20:07:24
system,20:07:29,26.0,90.4,OFF,OFF,Strong light detected,2026-02-14 20:07:29
system,20:07:34,26.7,90.3,OFF,OFF,No fireflies detected,2026-02-14 20:07:34
system,20:07:39,26.7,90.3,OFF,OFF,Strong light detected,2026-02-14 20:07:39
internet,20:44:06,26.1,93.8,ON,OFF,No fireflies detected,2026-02-14 20:08:03
internet,20:44:11,26.1,93.5,ON,OFF,No fireflies detected,2026-02-14 20:09:35
internet,20:44:16,26.2,93.3,ON,OFF,Strong light detected,2026-02-14 20:09:37
internet,20:44:21,26.2,93.0,OFF,OFF,Strong light detected,2026-02-14 20:09:41
internet,20:44:26,26.2,92.8,OFF,OFF,Strong light detected,2026-02-14 20:09:45
internet,20:44:31,26.3,92.6,OFF,OFF,No fireflies detected,2026-02-14 20:09:56
internet,20:44:36,26.3,92.5,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:44:41,26.3,92.4,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:44:46,27.0,92.3,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:44:51,26.4,92.2,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:44:56,26.4,92.2,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:01,26.4,92.1,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:06,25.8,92.0,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:11,26.5,91.9,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:16,26.5,91.8,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:21,26.5,91.8,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:26,26.5,91.7,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:31,26.5,91.6,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:36,26.5,91.6,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:41,27.2,91.5,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:45:46,26.6,91.4,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:45:51,26.6,91.4,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:45:56,26.6,91.3,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:46:01,26.6,91.3,OFF,OFF,No fireflies detected,2026-02-14 20:09:58
internet,20:46:06,26.6,91.3,OFF,OFF,No fireflies detected,2026-02-14 20:10:03
internet,20:46:11,26.6,91.3,OFF,OFF,No fireflies detected,2026-02-14 20:10:08
internet,20:46:16,26.6,91.2,OFF,OFF,Strong light detected,2026-02-14 20:10:27
